Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDTWDSum,MDDRateSum
0.5,>=50%,2020,277,11,13,10,0.7692307692307693,58.68,2934.0,0.011736,34.4,1720.0,0.00688
0.5,>=50%,2021,277,39,65,38,0.5846153846153846,121.72000000000001,6086.0,0.024344,563.1,28155.0,0.11262
0.5,>=50%,2022,277,3,3,2,0.6666666666666666,2.16,108.0,0.000432,8.28,413.99999999999994,0.0016559999999999997
0.5,>=50%,2023,277,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.5,>=50%,2024,277,67,128,80,0.625,148.97999999999993,7449.0,0.029796,1292.54,64627.0,0.258508
0.5,>=50%,2025,277,37,96,57,0.59375,941.1999999999999,47060.0,0.18824,423.36,21168.0,0.084672
0.5,>=50%,2026,277,269,1577,963,0.6106531388712746,12181.440000000002,609072.0,2.436288,11674.0,583700.0,2.3348
0.6,>=60%,2020,181,2,2,2,1.0,17.76,888.0,0.003552,0.0,0.0,0.0
0.6,>=60%,2021,181,19,19,13,0.6842105263157895,264.38,13219.0,0.052876,28.159999999999997,1407.9999999999998,0.005631999999999999
0.6,>=60%,2022,181,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.6,>=60%,2023,181,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.6,>=60%,2024,181,26,35,30,0.8571428571428571,580.92,29046.0,0.116184,77.84,3892.0,0.015568
0.6,>=60%,2025,181,13,16,12,0.75,325.76,16288.0,0.065152,11.440000000000001,572.0000000000001,0.0022880000000000005
0.6,>=60%,2026,181,173,591,437,0.739424703891709,12477.160000000002,623858.0,2.495432,3238.6400000000003,161932.00000000003,0.6477280000000001
0.7,>=70%,2020,138,1,1,1,1.0,12.88,644.0,0.002576,0.0,0.0,0.0
0.7,>=70%,2021,138,7,7,5,0.7142857142857143,151.64,7582.0,0.030328,13.719999999999999,686.0,0.002744
0.7,>=70%,2022,138,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.7,>=70%,2023,138,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.7,>=70%,2024,138,12,14,14,1.0,286.48,14324.0,0.057296,0.0,0.0,0.0
0.7,>=70%,2025,138,5,5,5,1.0,76.84,3842.0,0.015368,0.0,0.0,0.0
0.7,>=70%,2026,138,130,259,228,0.8803088803088803,9474.66,473733.0,1.894932,850.6400000000001,42532.00000000001,0.17012800000000003
0.8,>=80%,2020,123,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.8,>=80%,2021,123,5,5,4,0.8,129.36,6468.0,0.025872,12.36,618.0,0.002472
0.8,>=80%,2022,123,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.8,>=80%,2023,123,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.8,>=80%,2024,123,8,8,8,1.0,234.79999999999998,11740.0,0.04696,0.0,0.0,0.0
0.8,>=80%,2025,123,2,2,2,1.0,21.2,1060.0,0.00424,0.0,0.0,0.0
0.8,>=80%,2026,123,115,167,162,0.9700598802395209,8040.0199999999995,402001.0,1.608004,176.72,8836.0,0.035344
0.9,>=90%,2020,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.9,>=90%,2021,119,4,4,4,1.0,141.72,7086.0,0.028344,0.0,0.0,0.0
0.9,>=90%,2022,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.9,>=90%,2023,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
0.9,>=90%,2024,119,6,6,6,1.0,188.83999999999997,9442.0,0.037768,0.0,0.0,0.0
0.9,>=90%,2025,119,1,1,1,1.0,12.6,630.0,0.00252,0.0,0.0,0.0
0.9,>=90%,2026,119,111,141,141,1.0,7530.180000000001,376509.0,1.506036,0.0,0.0,0.0
1.0,>=100%,2020,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1.0,>=100%,2021,119,4,4,4,1.0,141.72,7086.0,0.028344,0.0,0.0,0.0
1.0,>=100%,2022,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1.0,>=100%,2023,119,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1.0,>=100%,2024,119,6,6,6,1.0,188.83999999999997,9442.0,0.037768,0.0,0.0,0.0
1.0,>=100%,2025,119,1,1,1,1.0,12.6,630.0,0.00252,0.0,0.0,0.0
1.0,>=100%,2026,119,111,141,141,1.0,7530.180000000001,376509.0,1.506036,0.0,0.0,0.0
