RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
1,G0001,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,1,2~5,2,5.0,1,17072,12758,0.7473055295220243,12758,6499,6259,3470,9282,6,0.27198620473428436,-10728.0,-57336.99999999777,-2866849.9999998887,-11.467399999999556,31631.439999999922,-88968.43999999668,0.3555355134922125,-4.4941997178239355,57387.71999999778,11.477543999999556,459288.0,595362.0,1275800.0
2,G0002,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,2,6~10,6,10.0,1,163,107,0.656441717791411,107,50,57,37,70,0,0.34579439252336447,70.0,-391.23999999999984,-19561.999999999993,-0.07824799999999997,1005.86,-1397.1000000000001,0.7199627800443775,-3.6564485981308397,671.5199999999998,0.13430399999999995,3852.0,8510.0,10700.0
3,G0003,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,3,11~15,11,15.0,1,6,4,0.6666666666666666,4,1,3,4,0,0,1.0,68.0,50.36,2518.0,0.010072,50.36,-0.0,inf,12.59,0.0,0.0,144.0,338.0,400.0
4,G0004,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,4,16~20,16,20.0,1,1,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
5,G0005,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,5,21~25,21,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
6,G0006,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,6,26~30,26,30.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
7,G0007,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,7,31~35,31,35.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
8,G0008,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,8,36~40,36,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
9,G0009,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,9,41~45,41,45.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
10,G0010,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,10,46~50,46,50.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
11,G0011,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,11,51~55,51,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
12,G0012,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,12,56~60,56,60.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
13,G0013,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,13,61~65,61,65.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
14,G0014,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,14,66~70,66,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
15,G0015,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,15,71~75,71,75.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
16,G0016,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,16,76~80,76,80.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
17,G0017,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,17,81~85,81,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
18,G0018,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,18,86~90,86,90.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
19,G0019,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~20,0,20.0,19,91~95,91,95.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
