RuleID,RunID,StrategyID,BinMode,ReferenceAnchor,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyPointBin,BodyPointMin,BodyPointMax,BodyRatioMinPct,BodyRatioMaxPct,BodyMin,BodyMax,GapBinIndex,GapBin,GapPointBin,GapPointMin,GapPointMax,GapRatioMinPct,GapRatioMaxPct,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
1,G0001,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,1,0.010%~0.020%,2~4,2,4.0,0.01,0.02,0.0001,0.0002,1,28952,15146,0.5231417518651561,15146,7552,7594,2852,12289,5,0.18830054139706853,-13680.0,-66429.82000000037,-3321491.0000000186,-13.285964000000074,20626.320000000112,-87056.13999999891,0.23693124919161787,-4.385964611118472,66453.46000000036,13.290692000000071,545256.0,577635.0,1514600.0
2,G0002,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,2,0.025%~0.035%,5~7,5,7.0,0.025,0.034999999999999996,0.00025,0.00035,1,281,142,0.505338078291815,142,82,60,41,101,0,0.2887323943661972,204.0,-279.0800000000005,-13954.000000000025,-0.0558160000000001,737.8600000000001,-1016.9399999999999,0.7255688634531046,-1.9653521126760598,742.9200000000003,0.14858400000000005,5112.0,4842.0,14200.0
3,G0003,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,3,0.040%~0.050%,8~10,8,10.0,0.04,0.05,0.0004,0.0005,1,18,9,0.5,9,6,3,2,7,0,0.2222222222222222,29.0,-0.2999999999999936,-14.99999999999968,-5.999999999999872e-05,47.019999999999996,-47.31999999999999,0.9936601859678783,-0.033333333333332625,47.31999999999999,0.009463999999999998,324.0,241.0,900.0
4,G0004,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,4,0.055%~0.065%,11~13,11,13.0,0.055,0.065,0.00055,0.00065,1,2,1,0.5,1,1,0,0,1,0,0.0,-5.0,-8.08,-404.0,-0.001616,0.0,-8.08,0.0,-8.08,8.08,0.001616,36.0,18.0,100.0
5,G0005,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,5,0.070%~0.080%,14~16,14,16.0,0.06999999999999999,0.08,0.0007,0.0008,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
6,G0006,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,6,0.085%~0.095%,17~19,17,19.0,0.08499999999999999,0.095,0.00085,0.00095,1,1,1,1.0,1,1,0,0,1,0,0.0,-31.0,-35.4,-1770.0,-0.00708,0.0,-35.4,0.0,-35.4,35.4,0.00708,36.0,84.0,100.0
7,G0007,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,7,0.100%~0.110%,20~22,20,22.0,0.1,0.11,0.001,0.0011,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
8,G0008,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,8,0.115%~0.125%,23~25,23,25.0,0.11499999999999999,0.125,0.00115,0.00125,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
9,G0009,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,9,0.130%~0.140%,26~28,26,28.0,0.13,0.13999999999999999,0.0013,0.0014,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
10,G0010,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,10,0.145%~0.155%,29~31,29,31.0,0.145,0.155,0.00145,0.00155,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
11,G0011,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,11,0.160%~0.170%,32~34,32,34.0,0.16,0.16999999999999998,0.0016,0.0017,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
12,G0012,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,12,0.175%~0.185%,35~37,35,37.0,0.17500000000000002,0.185,0.00175,0.00185,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
13,G0013,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,13,0.190%~0.200%,38~40,38,40.0,0.19,0.2,0.0019,0.002,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
14,G0014,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,14,0.205%~0.215%,41~43,41,43.0,0.20500000000000002,0.215,0.00205,0.00215,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
15,G0015,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,15,0.220%~0.230%,44~46,44,46.0,0.22,0.22999999999999998,0.0022,0.0023,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
16,G0016,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,16,0.235%~0.245%,47~49,47,49.0,0.23500000000000001,0.245,0.00235,0.00245,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
17,G0017,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,17,0.250%~0.260%,50~52,50,52.0,0.25,0.26,0.0025,0.0026,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
18,G0018,A01_A08_BODY_GAP_ANCHOR_RATIO_ROD_P1,anchor_ratio,20000.0,1,A01,C[1] 前收,1,0.000%~0.050%,0~10,0,10.0,0.0,0.05,0.0,0.0005,18,0.265%~0.275%,53~55,53,55.0,0.265,0.27499999999999997,0.00265,0.00275,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
