Layer,Threshold,ThresholdLabel,RuleID,RunID,AnchorID,BodyBin,GapBin,Date,EntryTime,ExitTime,Side,SideLabel,EntryPrice,ExitPrice,EffectiveEntry,EffectiveExit,RawPoints,NetPoints,NetProfitTWD,FeeTWD,TaxTWD,SlippageTWD,CumNetProfitTWD
小台全日 比例,0.5,勝率 > 50%,9900,G9900,A08,0.205%~0.250%,0.085%~0.095%,20200312,2020-03-12 09:10,2020-03-12 09:11,-1,做空,10648.0,10644.0,10648.0,10646.0,4.0,0.84,42.0,36,22,100.0,42.0
小台全日 比例,0.5,勝率 > 50%,5725,G5725,A05,0.205%~0.250%,0.190%~0.200%,20200312,2020-03-12 09:35,2020-03-12 09:36,1,做多,10513.0,10524.0,10513.0,10522.0,11.0,7.84,392.0,36,22,100.0,434.0
小台全日 比例,0.5,勝率 > 50%,8513,G8513,A07,0.205%~0.250%,0.190%~0.200%,20200312,2020-03-12 09:35,2020-03-12 09:36,1,做多,10513.0,10524.0,10513.0,10522.0,11.0,7.84,392.0,36,22,100.0,826.0
小台全日 比例,0.5,勝率 > 50%,3110,G3110,A03,0.455%~0.500%,0.235%~0.245%,20200312,2020-03-12 10:08,2020-03-12 10:09,-1,做空,10212.0,10236.0,10212.0,10238.0,-24.0,-27.12,-1356.0,36,20,100.0,-530.0
小台全日 比例,0.5,勝率 > 50%,10071,G10071,A08,0.455%~0.500%,0.100%~0.110%,20200312,2020-03-12 10:08,2020-03-12 10:09,-1,做空,10198.0,10236.0,10198.0,10238.0,-38.0,-41.12,-2056.0,36,20,100.0,-2586.0
小台全日 比例,0.5,勝率 > 50%,1857,G1857,A02,0.655%~0.700%,0.310%~0.320%,20200312,2020-03-12 10:16,2020-03-12 10:17,1,做多,10324.0,10329.0,10324.0,10327.0,5.0,1.88,94.0,36,20,100.0,-2492.0
小台全日 比例,0.5,勝率 > 50%,3253,G3253,A03,0.655%~0.700%,0.340%~0.350%,20200312,2020-03-12 10:16,2020-03-12 10:17,1,做多,10321.0,10329.0,10321.0,10327.0,8.0,4.88,244.0,36,20,100.0,-2248.0
小台全日 比例,0.5,勝率 > 50%,2969,G2969,A03,0.255%~0.300%,0.160%~0.170%,20200312,2020-03-12 21:42,2020-03-12 21:43,-1,做空,9984.0,9968.0,9984.0,9970.0,16.0,12.88,644.0,36,20,100.0,-1604.0
小台全日 比例,0.5,勝率 > 50%,3037,G3037,A03,0.355%~0.400%,0.160%~0.170%,20200312,2020-03-12 21:58,2020-03-12 21:59,1,做多,9993.0,9996.0,9993.0,9994.0,3.0,-0.12,-6.0,36,20,100.0,-1610.0
小台全日 比例,0.5,勝率 > 50%,1573,G1573,A02,0.255%~0.300%,0.130%~0.140%,20200312,2020-03-12 22:03,2020-03-12 22:04,1,做多,9983.0,9977.0,9983.0,9975.0,-6.0,-9.12,-456.0,36,20,100.0,-2066.0
小台全日 比例,0.5,勝率 > 50%,1640,G1640,A02,0.355%~0.400%,0.115%~0.125%,20200313,2020-03-13 00:55,2020-03-13 00:56,1,做多,9883.0,9888.0,9883.0,9886.0,5.0,1.88,94.0,36,20,100.0,-1972.0
小台全日 比例,0.5,勝率 > 50%,239,G0239,A01,0.355%~0.400%,0.010%~0.020%,20200313,2020-03-13 00:58,2020-03-13 00:59,1,做多,9940.0,9958.0,9940.0,9956.0,18.0,14.88,744.0,36,20,100.0,-1228.0
小台全日 比例,0.5,勝率 > 50%,7209,G7209,A06,0.355%~0.400%,0.010%~0.020%,20200313,2020-03-13 00:58,2020-03-13 00:59,1,做多,9940.0,9958.0,9940.0,9956.0,18.0,14.88,744.0,36,20,100.0,-484.0
小台全日 比例,0.5,勝率 > 50%,2968,G2968,A03,0.255%~0.300%,0.145%~0.155%,20200313,2020-03-13 01:01,2020-03-13 01:02,-1,做空,9934.0,9987.0,9934.0,9989.0,-53.0,-56.12,-2806.0,36,20,100.0,-3290.0
小台全日 比例,0.5,勝率 > 50%,9932,G9932,A08,0.255%~0.300%,0.055%~0.065%,20200313,2020-03-13 01:06,2020-03-13 01:07,1,做多,10057.0,10037.0,10057.0,10035.0,-20.0,-23.12,-1156.0,36,20,100.0,-4446.0
小台全日 比例,0.5,勝率 > 50%,3037,G3037,A03,0.355%~0.400%,0.160%~0.170%,20200313,2020-03-13 09:05,2020-03-13 09:06,1,做多,9589.0,9598.0,9589.0,9596.0,9.0,5.88,294.0,36,20,100.0,-4152.0
小台全日 比例,0.5,勝率 > 50%,3039,G3039,A03,0.355%~0.400%,0.190%~0.200%,20200313,2020-03-13 09:26,2020-03-13 09:27,-1,做空,9525.0,9499.0,9525.0,9501.0,26.0,22.88,1144.0,36,20,100.0,-3008.0
小台全日 比例,0.5,勝率 > 50%,341,G0341,A01,0.505%~0.550%,0.010%~0.020%,20200313,2020-03-13 09:31,2020-03-13 09:32,1,做多,9517.0,9544.0,9517.0,9542.0,27.0,23.88,1194.0,36,20,100.0,-1814.0
小台全日 比例,0.5,勝率 > 50%,7311,G7311,A06,0.505%~0.550%,0.010%~0.020%,20200313,2020-03-13 09:31,2020-03-13 09:32,1,做多,9517.0,9544.0,9517.0,9542.0,27.0,23.88,1194.0,36,20,100.0,-620.0
小台全日 比例,0.5,勝率 > 50%,1573,G1573,A02,0.255%~0.300%,0.130%~0.140%,20200313,2020-03-13 09:38,2020-03-13 09:39,1,做多,9498.0,9496.0,9498.0,9494.0,-2.0,-5.08,-254.0,36,18,100.0,-874.0
小台全日 比例,0.5,勝率 > 50%,2968,G2968,A03,0.255%~0.300%,0.145%~0.155%,20200313,2020-03-13 09:38,2020-03-13 09:39,1,做多,9496.0,9496.0,9496.0,9494.0,0.0,-3.08,-154.0,36,18,100.0,-1028.0
小台全日 比例,0.5,勝率 > 50%,239,G0239,A01,0.355%~0.400%,0.010%~0.020%,20200313,2020-03-13 09:45,2020-03-13 09:46,1,做多,9516.0,9534.0,9516.0,9532.0,18.0,14.88,744.0,36,20,100.0,-284.0
小台全日 比例,0.5,勝率 > 50%,7209,G7209,A06,0.355%~0.400%,0.010%~0.020%,20200313,2020-03-13 09:45,2020-03-13 09:46,1,做多,9516.0,9534.0,9516.0,9532.0,18.0,14.88,744.0,36,20,100.0,460.0
