Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
大台全日 比例,0.5,勝率 > 50%,2019,187,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,0.5,勝率 > 50%,2020,187,93,269,174,0.6468401486988847,606.645,121329.0,0.121329,977.385,0.195477,103.56,0.020712
大台全日 比例,0.5,勝率 > 50%,2021,187,29,64,43,0.671875,673.955,134791.0,0.134791,202.94500000000002,0.04058900000000001,26.04,0.005208
大台全日 比例,0.5,勝率 > 50%,2022,187,11,18,10,0.5555555555555556,66.345,13269.0,0.013269,81.495,0.016299,37.94,0.007588
大台全日 比例,0.5,勝率 > 50%,2023,187,3,3,3,1.0,152.18,30436.0,0.030436,0.0,0.0,0.0,0.0
大台全日 比例,0.5,勝率 > 50%,2024,187,51,82,61,0.7439024390243902,722.9150000000001,144583.0,0.144583,708.56,0.141712,118.155,0.023631
大台全日 比例,0.5,勝率 > 50%,2025,187,107,193,146,0.7564766839378239,5221.92,1044384.0,1.044384,1011.8149999999999,0.202363,87.08,0.017416
大台全日 比例,0.5,勝率 > 50%,2026,187,68,149,97,0.6510067114093959,3131.7599999999998,626352.0,0.626352,1703.51,0.340702,208.075,0.041615
大台全日 比例,0.6,勝率 > 60%,2019,166,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,0.6,勝率 > 60%,2020,166,73,130,102,0.7846153846153846,711.87,142374.0,0.142374,382.145,0.076429,81.835,0.016367
大台全日 比例,0.6,勝率 > 60%,2021,166,17,26,18,0.6923076923076923,283.36,56672.0,0.056672,95.97,0.019194,26.04,0.005208
大台全日 比例,0.6,勝率 > 60%,2022,166,5,6,6,1.0,118.25,23650.0,0.02365,0.0,0.0,0.0,0.0
大台全日 比例,0.6,勝率 > 60%,2023,166,3,3,3,1.0,152.18,30436.0,0.030436,0.0,0.0,0.0,0.0
大台全日 比例,0.6,勝率 > 60%,2024,166,35,47,43,0.9148936170212766,747.81,149562.0,0.149562,298.6,0.05972000000000001,118.155,0.023631
大台全日 比例,0.6,勝率 > 60%,2025,166,86,129,110,0.8527131782945736,4910.155000000001,982031.0,0.982031,452.625,0.090525,57.09,0.011418
大台全日 比例,0.6,勝率 > 60%,2026,166,48,74,55,0.7432432432432432,2885.735,577147.0,0.577147,748.9200000000001,0.149784,208.075,0.041615
大台全日 比例,0.7,勝率 > 70%,2019,146,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,0.7,勝率 > 70%,2020,146,58,89,78,0.8764044943820225,776.615,155323.0,0.155323,103.86,0.020772,37.75,0.00755
大台全日 比例,0.7,勝率 > 70%,2021,146,12,19,14,0.7368421052631579,224.24,44848.0,0.044848,55.040000000000006,0.011008000000000002,26.04,0.005208
大台全日 比例,0.7,勝率 > 70%,2022,146,3,3,3,1.0,84.18,16836.0,0.016836,0.0,0.0,0.0,0.0
大台全日 比例,0.7,勝率 > 70%,2023,146,1,1,1,1.0,22.06,4412.0,0.004412,0.0,0.0,0.0,0.0
大台全日 比例,0.7,勝率 > 70%,2024,146,26,31,31,1.0,778.275,155655.0,0.155655,0.0,0.0,0.0,0.0
大台全日 比例,0.7,勝率 > 70%,2025,146,69,89,83,0.9325842696629213,4496.67,899334.0,0.899334,139.59,0.027918,35.1,0.00702
大台全日 比例,0.7,勝率 > 70%,2026,146,35,44,38,0.8636363636363636,3191.585,638317.0,0.638317,144.16,0.028832,82.04,0.016408
大台全日 比例,0.8,勝率 > 80%,2019,130,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2020,130,46,52,51,0.9807692307692307,655.245,131049.0,0.131049,3.73,0.000746,3.73,0.000746
大台全日 比例,0.8,勝率 > 80%,2021,130,5,5,5,1.0,100.15,20030.0,0.02003,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2022,130,3,3,3,1.0,84.18,16836.0,0.016836,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2023,130,1,1,1,1.0,22.06,4412.0,0.004412,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2024,130,18,18,18,1.0,542.425,108485.0,0.108485,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2025,130,56,66,66,1.0,4042.7050000000004,808541.0,0.808541,0.0,0.0,0.0,0.0
大台全日 比例,0.8,勝率 > 80%,2026,130,22,22,22,1.0,2402.1349999999998,480427.0,0.480427,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2019,129,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2020,129,45,50,50,1.0,656.725,131345.0,0.131345,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2021,129,5,5,5,1.0,100.15,20030.0,0.02003,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2022,129,2,2,2,1.0,57.120000000000005,11424.0,0.011424,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2023,129,1,1,1,1.0,22.06,4412.0,0.004412,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2024,129,18,18,18,1.0,542.425,108485.0,0.108485,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2025,129,55,62,62,1.0,3884.0299999999997,776806.0,0.776806,0.0,0.0,0.0,0.0
大台全日 比例,0.9,勝率 > 90%,2026,129,22,22,22,1.0,2402.135,480427.0,0.480427,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2019,129,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2020,129,45,50,50,1.0,656.725,131345.0,0.131345,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2021,129,5,5,5,1.0,100.15,20030.0,0.02003,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2022,129,2,2,2,1.0,57.120000000000005,11424.0,0.011424,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2023,129,1,1,1,1.0,22.06,4412.0,0.004412,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2024,129,18,18,18,1.0,542.425,108485.0,0.108485,0.0,0.0,0.0,0.0
大台全日 比例,1.0,勝率 = 100%,2025,129,55,62,62,1.0,3884.0299999999997,776806.0,0.776806,0.0,0.0,0.0,0.0
