Layer,Threshold,ThresholdLabel,Date,DailyNetTWD,DailyLongTWD,DailyShortTWD,CumNetTWD,CumLongTWD,CumShortTWD
大台全日 比例,0.5,勝率 > 50%,20200309,-3558.0,0.0,-3558.0,-3558.0,0.0,-3558.0
大台全日 比例,0.5,勝率 > 50%,20200312,6338.0,4646.0,1692.0,2780.0,4646.0,-1866.0
大台全日 比例,0.5,勝率 > 50%,20200313,29991.0,13821.0,16170.0,32771.0,18467.0,14304.0
大台全日 比例,0.5,勝率 > 50%,20200314,3650.0,4000.0,-350.0,36421.0,22467.0,13954.0
大台全日 比例,0.5,勝率 > 50%,20200316,8046.0,6668.0,1378.0,44467.0,29135.0,15332.0
大台全日 比例,0.5,勝率 > 50%,20200317,7870.0,13641.0,-5771.0,52337.0,42776.0,9561.0
大台全日 比例,0.5,勝率 > 50%,20200318,23346.0,33796.0,-10450.0,75683.0,76572.0,-889.0
大台全日 比例,0.5,勝率 > 50%,20200319,32384.0,5328.0,27056.0,108067.0,81900.0,26167.0
大台全日 比例,0.5,勝率 > 50%,20200320,26235.0,7257.0,18978.0,134302.0,89157.0,45145.0
大台全日 比例,0.5,勝率 > 50%,20200321,-1968.0,-2884.0,916.0,132334.0,86273.0,46061.0
大台全日 比例,0.5,勝率 > 50%,20200323,-10256.0,834.0,-11090.0,122078.0,87107.0,34971.0
大台全日 比例,0.5,勝率 > 50%,20200324,3456.0,-1620.0,5076.0,125534.0,85487.0,40047.0
大台全日 比例,0.5,勝率 > 50%,20200325,2908.0,1454.0,1454.0,128442.0,86941.0,41501.0
大台全日 比例,0.5,勝率 > 50%,20200326,4962.0,0.0,4962.0,133404.0,86941.0,46463.0
大台全日 比例,0.5,勝率 > 50%,20200327,-94.0,-746.0,652.0,133310.0,86195.0,47115.0
大台全日 比例,0.5,勝率 > 50%,20200330,4222.0,0.0,4222.0,137532.0,86195.0,51337.0
大台全日 比例,0.5,勝率 > 50%,20200406,2904.0,0.0,2904.0,140436.0,86195.0,54241.0
大台全日 比例,0.5,勝率 > 50%,20200408,-550.0,0.0,-550.0,139886.0,86195.0,53691.0
大台全日 比例,0.5,勝率 > 50%,20200424,3448.0,0.0,3448.0,143334.0,86195.0,57139.0
大台全日 比例,0.5,勝率 > 50%,20200427,-2708.0,-2354.0,-354.0,140626.0,83841.0,56785.0
大台全日 比例,0.5,勝率 > 50%,20200707,2268.0,0.0,2268.0,142894.0,83841.0,59053.0
大台全日 比例,0.5,勝率 > 50%,20200728,-914.0,-3172.0,2258.0,141980.0,80669.0,61311.0
大台全日 比例,0.5,勝率 > 50%,20200820,-22071.0,-5704.0,-16367.0,119909.0,74965.0,44944.0
大台全日 比例,0.5,勝率 > 50%,20201125,1420.0,0.0,1420.0,121329.0,74965.0,46364.0
大台全日 比例,0.5,勝率 > 50%,20210106,-188.0,-188.0,0.0,121141.0,74777.0,46364.0
大台全日 比例,0.5,勝率 > 50%,20210118,819.0,0.0,819.0,121960.0,74777.0,47183.0
大台全日 比例,0.5,勝率 > 50%,20210125,-2196.0,0.0,-2196.0,119764.0,74777.0,44987.0
大台全日 比例,0.5,勝率 > 50%,20210205,2003.0,2003.0,0.0,121767.0,76780.0,44987.0
大台全日 比例,0.5,勝率 > 50%,20210226,4602.0,0.0,4602.0,126369.0,76780.0,49589.0
大台全日 比例,0.5,勝率 > 50%,20210510,-6816.0,0.0,-6816.0,119553.0,76780.0,42773.0
大台全日 比例,0.5,勝率 > 50%,20210512,73304.0,9444.0,63860.0,192857.0,86224.0,106633.0
大台全日 比例,0.5,勝率 > 50%,20210513,29434.0,25026.0,4408.0,222291.0,111250.0,111041.0
大台全日 比例,0.5,勝率 > 50%,20210514,-2396.0,-2396.0,0.0,219895.0,108854.0,111041.0
大台全日 比例,0.5,勝率 > 50%,20210517,39467.0,28441.0,11026.0,259362.0,137295.0,122067.0
大台全日 比例,0.5,勝率 > 50%,20210518,-2994.0,-2994.0,0.0,256368.0,134301.0,122067.0
大台全日 比例,0.5,勝率 > 50%,20210521,598.0,0.0,598.0,256966.0,134301.0,122665.0
大台全日 比例,0.5,勝率 > 50%,20210525,-2.0,0.0,-2.0,256964.0,134301.0,122663.0
大台全日 比例,0.5,勝率 > 50%,20210607,-1424.0,-206.0,-1218.0,255540.0,134095.0,121445.0
大台全日 比例,0.5,勝率 > 50%,20210719,-2612.0,0.0,-2612.0,252928.0,134095.0,118833.0
大台全日 比例,0.5,勝率 > 50%,20210728,3192.0,3192.0,0.0,256120.0,137287.0,118833.0
