Layer,Threshold,ThresholdLabel,RuleID,RunID,AnchorID,BodyBin,GapBin,Date,EntryTime,ExitTime,Side,SideLabel,EntryPrice,ExitPrice,EffectiveEntry,EffectiveExit,RawPoints,NetPoints,NetProfitTWD,FeeTWD,TaxTWD,SlippageTWD,CumNetProfitTWD
大台全日 比例,0.5,勝率 > 50%,10000,G10000,A08,0.355%~0.400%,0.055%~0.065%,20200309,2020-03-09 09:50,2020-03-09 09:51,-1,做空,10971.0,10986.0,10971.0,10988.0,-15.0,-17.79,-3558.0,70,88,400.0,-3558.0
大台全日 比例,0.5,勝率 > 50%,9967,G9967,A08,0.305%~0.350%,0.070%~0.080%,20200312,2020-03-12 09:27,2020-03-12 09:28,-1,做空,10543.0,10535.0,10543.0,10537.0,8.0,5.23,1046.0,70,84,400.0,-2512.0
大台全日 比例,0.5,勝率 > 50%,9968,G9968,A08,0.305%~0.350%,0.085%~0.095%,20200312,2020-03-12 09:50,2020-03-12 09:51,-1,做空,10464.0,10458.0,10464.0,10460.0,6.0,3.23,646.0,70,84,400.0,-1866.0
大台全日 比例,0.5,勝率 > 50%,1857,G1857,A02,0.655%~0.700%,0.310%~0.320%,20200312,2020-03-12 10:16,2020-03-12 10:17,1,做多,10324.0,10330.0,10324.0,10328.0,6.0,3.24,648.0,70,82,400.0,-1218.0
大台全日 比例,0.5,勝率 > 50%,3254,G3254,A03,0.655%~0.700%,0.355%~0.365%,20200312,2020-03-12 10:16,2020-03-12 10:17,1,做多,10320.0,10330.0,10320.0,10328.0,10.0,7.24,1448.0,70,82,400.0,230.0
大台全日 比例,0.5,勝率 > 50%,3004,G3004,A03,0.305%~0.350%,0.175%~0.185%,20200312,2020-03-12 21:33,2020-03-12 21:34,1,做多,10028.0,10032.0,10028.0,10030.0,4.0,1.25,250.0,70,80,400.0,480.0
大台全日 比例,0.5,勝率 > 50%,1644,G1644,A02,0.355%~0.400%,0.175%~0.185%,20200312,2020-03-12 21:50,2020-03-12 21:51,1,做多,9957.0,9970.0,9957.0,9968.0,13.0,10.25,2050.0,70,80,400.0,2530.0
大台全日 比例,0.5,勝率 > 50%,10001,G10001,A08,0.355%~0.400%,0.070%~0.080%,20200312,2020-03-12 21:50,2020-03-12 21:51,1,做多,9966.0,9970.0,9966.0,9968.0,4.0,1.25,250.0,70,80,400.0,2780.0
大台全日 比例,0.5,勝率 > 50%,1751,G1751,A02,0.505%~0.550%,0.250%~0.260%,20200313,2020-03-13 01:04,2020-03-13 01:05,1,做多,10021.0,10038.0,10021.0,10036.0,17.0,14.25,2850.0,70,80,400.0,5630.0
大台全日 比例,0.5,勝率 > 50%,3145,G3145,A03,0.505%~0.550%,0.250%~0.260%,20200313,2020-03-13 01:04,2020-03-13 01:05,1,做多,10020.0,10038.0,10020.0,10036.0,18.0,15.25,3050.0,70,80,400.0,8680.0
大台全日 比例,0.5,勝率 > 50%,2966,G2966,A03,0.255%~0.300%,0.115%~0.125%,20200313,2020-03-13 01:15,2020-03-13 01:16,1,做多,9927.0,9942.0,9927.0,9940.0,15.0,12.25,2450.0,70,80,400.0,11130.0
大台全日 比例,0.5,勝率 > 50%,4,G0004,A01,0.000%~0.050%,0.055%~0.065%,20200313,2020-03-13 04:30,2020-03-13 04:31,-1,做空,9848.0,9819.0,9848.0,9821.0,29.0,26.26,5252.0,70,78,400.0,16382.0
大台全日 比例,0.5,勝率 > 50%,4185,G4185,A04,0.000%~0.050%,0.040%~0.050%,20200313,2020-03-13 04:30,2020-03-13 04:31,-1,做空,9846.0,9819.0,9846.0,9821.0,27.0,24.26,4852.0,70,78,400.0,21234.0
