Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
大台日盤 比例,0.5,勝率 > 50%,2020,130,95,310,202,0.6516129032258065,683.415,136683.0,0.136683,899.1699999999998,0.17983399999999997,70.355,0.014071
大台日盤 比例,0.5,勝率 > 50%,2021,130,51,174,108,0.6206896551724138,1306.455,261291.0,0.261291,832.2150000000001,0.16644300000000004,108.01,0.021602
大台日盤 比例,0.5,勝率 > 50%,2022,130,20,32,16,0.5,-51.39,-10278.0,-0.010278,176.51,0.035302,42.65,0.00853
大台日盤 比例,0.5,勝率 > 50%,2023,130,2,2,2,1.0,11.94,2388.0,0.002388,0.0,0.0,0.0,0.0
大台日盤 比例,0.5,勝率 > 50%,2024,130,50,101,58,0.5742574257425742,132.81000000000006,26562.000000000004,0.026562000000000002,1109.895,0.221979,118.155,0.023631
大台日盤 比例,0.5,勝率 > 50%,2025,130,45,99,62,0.6262626262626263,617.27,123454.0,0.123454,576.585,0.115317,96.32,0.019264
大台日盤 比例,0.5,勝率 > 50%,2026,130,52,159,99,0.6226415094339622,1617.165,323433.0,0.323433,1339.4250000000002,0.26788500000000004,131.115,0.026223
大台日盤 比例,0.6,勝率 > 60%,2020,98,63,108,92,0.8518518518518519,776.855,155371.0,0.155371,208.8,0.04176,47.75,0.00955
大台日盤 比例,0.6,勝率 > 60%,2021,98,25,45,37,0.8222222222222222,686.825,137365.0,0.137365,79.87500000000001,0.015975000000000003,17.97,0.003594
大台日盤 比例,0.6,勝率 > 60%,2022,98,3,3,2,0.6666666666666666,10.25,2050.0,0.00205,8.91,0.001782,8.91,0.001782
大台日盤 比例,0.6,勝率 > 60%,2023,98,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤 比例,0.6,勝率 > 60%,2024,98,25,30,23,0.7666666666666667,192.055,38411.0,0.038411,356.115,0.071223,118.155,0.023631
大台日盤 比例,0.6,勝率 > 60%,2025,98,17,22,20,0.9090909090909091,652.0649999999999,130413.0,0.130413,22.22,0.004444,19.14,0.003828
大台日盤 比例,0.6,勝率 > 60%,2026,98,27,39,30,0.7692307692307693,856.7249999999999,171345.0,0.171345,208.055,0.041611,51.145,0.010229
大台日盤 比例,0.7,勝率 > 70%,2020,83,53,79,70,0.8860759493670886,633.9449999999999,126789.0,0.126789,105.47999999999999,0.021095999999999997,37.75,0.00755
大台日盤 比例,0.7,勝率 > 70%,2021,83,18,31,27,0.8709677419354839,534.55,106910.0,0.10691,36.94,0.007388,17.97,0.003594
大台日盤 比例,0.7,勝率 > 70%,2022,83,3,3,2,0.6666666666666666,10.25,2050.0,0.00205,8.91,0.001782,8.91,0.001782
大台日盤 比例,0.7,勝率 > 70%,2023,83,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤 比例,0.7,勝率 > 70%,2024,83,17,20,20,1.0,500.62,100124.0,0.100124,0.0,0.0,0.0,0.0
大台日盤 比例,0.7,勝率 > 70%,2025,83,11,13,13,1.0,576.815,115363.0,0.115363,0.0,0.0,0.0,0.0
大台日盤 比例,0.7,勝率 > 70%,2026,83,17,22,20,0.9090909090909091,662.86,132572.0,0.132572,35.14,0.007028,34.07,0.006814
大台日盤 比例,0.8,勝率 > 80%,2020,75,45,55,53,0.9636363636363636,573.3149999999999,114663.0,0.114663,22.39,0.004478,11.69,0.002338
大台日盤 比例,0.8,勝率 > 80%,2021,75,13,19,18,0.9473684210526315,396.39,79278.0,0.079278,4.98,0.0009960000000000001,4.98,0.0009960000000000001
大台日盤 比例,0.8,勝率 > 80%,2022,75,2,2,2,1.0,19.16,3832.0,0.003832,0.0,0.0,0.0,0.0
