Layer,Threshold,ThresholdLabel,Date,DailyNetTWD,DailyLongTWD,DailyShortTWD,CumNetTWD,CumLongTWD,CumShortTWD
大台日盤 比例,0.5,勝率 > 50%,20200130,-2124.0,-2562.0,438.0,-2124.0,-2562.0,438.0
大台日盤 比例,0.5,勝率 > 50%,20200203,6320.0,5480.0,840.0,4196.0,2918.0,1278.0
大台日盤 比例,0.5,勝率 > 50%,20200210,-362.0,0.0,-362.0,3834.0,2918.0,916.0
大台日盤 比例,0.5,勝率 > 50%,20200312,16590.0,16130.0,460.0,20424.0,19048.0,1376.0
大台日盤 比例,0.5,勝率 > 50%,20200313,6732.0,5896.0,836.0,27156.0,24944.0,2212.0
大台日盤 比例,0.5,勝率 > 50%,20200316,15260.0,15904.0,-644.0,42416.0,40848.0,1568.0
大台日盤 比例,0.5,勝率 > 50%,20200317,40766.0,6083.0,34683.0,83182.0,46931.0,36251.0
大台日盤 比例,0.5,勝率 > 50%,20200318,-8728.0,-1420.0,-7308.0,74454.0,45511.0,28943.0
大台日盤 比例,0.5,勝率 > 50%,20200319,55480.0,20598.0,34882.0,129934.0,66109.0,63825.0
大台日盤 比例,0.5,勝率 > 50%,20200320,-5884.0,7322.0,-13206.0,124050.0,73431.0,50619.0
大台日盤 比例,0.5,勝率 > 50%,20200323,5880.0,7960.0,-2080.0,129930.0,81391.0,48539.0
大台日盤 比例,0.5,勝率 > 50%,20200324,2912.0,2256.0,656.0,132842.0,83647.0,49195.0
大台日盤 比例,0.5,勝率 > 50%,20200325,1708.0,1454.0,254.0,134550.0,85101.0,49449.0
大台日盤 比例,0.5,勝率 > 50%,20200326,6085.0,-1238.0,7323.0,140635.0,83863.0,56772.0
大台日盤 比例,0.5,勝率 > 50%,20200327,1860.0,104.0,1756.0,142495.0,83967.0,58528.0
大台日盤 比例,0.5,勝率 > 50%,20200330,4152.0,-182.0,4334.0,146647.0,83785.0,62862.0
大台日盤 比例,0.5,勝率 > 50%,20200331,-348.0,0.0,-348.0,146299.0,83785.0,62514.0
大台日盤 比例,0.5,勝率 > 50%,20200406,2904.0,0.0,2904.0,149203.0,83785.0,65418.0
大台日盤 比例,0.5,勝率 > 50%,20200407,-1750.0,-1750.0,0.0,147453.0,82035.0,65418.0
大台日盤 比例,0.5,勝率 > 50%,20200422,-552.0,0.0,-552.0,146901.0,82035.0,64866.0
大台日盤 比例,0.5,勝率 > 50%,20200423,1448.0,0.0,1448.0,148349.0,82035.0,66314.0
大台日盤 比例,0.5,勝率 > 50%,20200427,-354.0,0.0,-354.0,147995.0,82035.0,65960.0
大台日盤 比例,0.5,勝率 > 50%,20200512,84.0,0.0,84.0,148079.0,82035.0,66044.0
大台日盤 比例,0.5,勝率 > 50%,20200623,1638.0,0.0,1638.0,149717.0,82035.0,67682.0
大台日盤 比例,0.5,勝率 > 50%,20200707,2268.0,0.0,2268.0,151985.0,82035.0,69950.0
大台日盤 比例,0.5,勝率 > 50%,20200728,-7398.0,-3172.0,-4226.0,144587.0,78863.0,65724.0
大台日盤 比例,0.5,勝率 > 50%,20200820,-8752.0,-5704.0,-3048.0,135835.0,73159.0,62676.0
大台日盤 比例,0.5,勝率 > 50%,20200828,-572.0,-572.0,0.0,135263.0,72587.0,62676.0
大台日盤 比例,0.5,勝率 > 50%,20201125,1420.0,0.0,1420.0,136683.0,72587.0,64096.0
大台日盤 比例,0.5,勝率 > 50%,20210106,-188.0,0.0,-188.0,136495.0,72587.0,63908.0
大台日盤 比例,0.5,勝率 > 50%,20210118,819.0,0.0,819.0,137314.0,72587.0,64727.0
大台日盤 比例,0.5,勝率 > 50%,20210125,-1184.0,0.0,-1184.0,136130.0,72587.0,63543.0
大台日盤 比例,0.5,勝率 > 50%,20210128,8.0,0.0,8.0,136138.0,72587.0,63551.0
大台日盤 比例,0.5,勝率 > 50%,20210201,-1968.0,0.0,-1968.0,134170.0,72587.0,61583.0
大台日盤 比例,0.5,勝率 > 50%,20210205,2003.0,2003.0,0.0,136173.0,74590.0,61583.0
大台日盤 比例,0.5,勝率 > 50%,20210224,1000.0,0.0,1000.0,137173.0,74590.0,62583.0
大台日盤 比例,0.5,勝率 > 50%,20210226,5004.0,0.0,5004.0,142177.0,74590.0,67587.0
大台日盤 比例,0.5,勝率 > 50%,20210308,-598.0,0.0,-598.0,141579.0,74590.0,66989.0
大台日盤 比例,0.5,勝率 > 50%,20210406,-204.0,-204.0,0.0,141375.0,74386.0,66989.0
大台日盤 比例,0.5,勝率 > 50%,20210426,190.0,190.0,0.0,141565.0,74576.0,66989.0
大台日盤 比例,0.5,勝率 > 50%,20210504,7778.0,4192.0,3586.0,149343.0,78768.0,70575.0
大台日盤 比例,0.5,勝率 > 50%,20210505,-1606.0,0.0,-1606.0,147737.0,78768.0,68969.0
大台日盤 比例,0.5,勝率 > 50%,20210511,7594.0,8398.0,-804.0,155331.0,87166.0,68165.0
大台日盤 比例,0.5,勝率 > 50%,20210512,121165.0,32291.0,88874.0,276496.0,119457.0,157039.0
大台日盤 比例,0.5,勝率 > 50%,20210513,32306.0,19040.0,13266.0,308802.0,138497.0,170305.0
大台日盤 比例,0.5,勝率 > 50%,20210514,-5780.0,-4384.0,-1396.0,303022.0,134113.0,168909.0
大台日盤 比例,0.5,勝率 > 50%,20210517,46382.0,36492.0,9890.0,349404.0,170605.0,178799.0
大台日盤 比例,0.5,勝率 > 50%,20210518,28033.0,12025.0,16008.0,377437.0,182630.0,194807.0
大台日盤 比例,0.5,勝率 > 50%,20210519,10207.0,-396.0,10603.0,387644.0,182234.0,205410.0
大台日盤 比例,0.5,勝率 > 50%,20210520,14012.0,2004.0,12008.0,401656.0,184238.0,217418.0
大台日盤 比例,0.5,勝率 > 50%,20210521,1198.0,0.0,1198.0,402854.0,184238.0,218616.0
大台日盤 比例,0.5,勝率 > 50%,20210525,-2.0,0.0,-2.0,402852.0,184238.0,218614.0
大台日盤 比例,0.5,勝率 > 50%,20210607,-10032.0,-206.0,-9826.0,392820.0,184032.0,208788.0
大台日盤 比例,0.5,勝率 > 50%,20210705,-812.0,0.0,-812.0,392008.0,184032.0,207976.0
大台日盤 比例,0.5,勝率 > 50%,20210719,-2612.0,0.0,-2612.0,389396.0,184032.0,205364.0
大台日盤 比例,0.5,勝率 > 50%,20210728,3380.0,3192.0,188.0,392776.0,187224.0,205552.0
大台日盤 比例,0.5,勝率 > 50%,20210819,198.0,0.0,198.0,392974.0,187224.0,205750.0
大台日盤 比例,0.5,勝率 > 50%,20210820,5000.0,-200.0,5200.0,397974.0,187024.0,210950.0
大台日盤 比例,0.5,勝率 > 50%,20220222,986.0,0.0,986.0,398960.0,187024.0,211936.0
大台日盤 比例,0.5,勝率 > 50%,20220308,-4804.0,0.0,-4804.0,394156.0,187024.0,207132.0
大台日盤 比例,0.5,勝率 > 50%,20220701,14.0,14.0,0.0,394170.0,187038.0,207132.0
大台日盤 比例,0.5,勝率 > 50%,20220704,-2688.0,-6904.0,4216.0,391482.0,180134.0,211348.0
大台日盤 比例,0.5,勝率 > 50%,20220705,652.0,0.0,652.0,392134.0,180134.0,212000.0
大台日盤 比例,0.5,勝率 > 50%,20220706,216.0,0.0,216.0,392350.0,180134.0,212216.0
大台日盤 比例,0.5,勝率 > 50%,20220707,-4096.0,-4346.0,250.0,388254.0,175788.0,212466.0
大台日盤 比例,0.5,勝率 > 50%,20220708,4048.0,3632.0,416.0,392302.0,179420.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20220712,818.0,818.0,0.0,393120.0,180238.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20220714,3616.0,3616.0,0.0,396736.0,183854.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20220907,-1384.0,-1384.0,0.0,395352.0,182470.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20221003,-778.0,-778.0,0.0,394574.0,181692.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20221017,-1374.0,-1374.0,0.0,393200.0,180318.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20221024,1626.0,1626.0,0.0,394826.0,181944.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20221026,-3544.0,-3544.0,0.0,391282.0,178400.0,212882.0
大台日盤 比例,0.5,勝率 > 50%,20221116,-3586.0,0.0,-3586.0,387696.0,178400.0,209296.0
大台日盤 比例,0.5,勝率 > 50%,20230731,2388.0,2388.0,0.0,390084.0,180788.0,209296.0
大台日盤 比例,0.5,勝率 > 50%,20240308,-2428.0,-2428.0,0.0,387656.0,178360.0,209296.0
大台日盤 比例,0.5,勝率 > 50%,20240419,-4732.0,2374.0,-7106.0,382924.0,180734.0,202190.0
