Layer,Threshold,ThresholdLabel,RuleID,RunID,AnchorID,BodyBin,GapBin,Date,EntryTime,ExitTime,Side,SideLabel,EntryPrice,ExitPrice,EffectiveEntry,EffectiveExit,RawPoints,NetPoints,NetProfitTWD,FeeTWD,TaxTWD,SlippageTWD,CumNetProfitTWD
大台日盤 比例,0.5,勝率 > 50%,1537,G1537,A02,0.205%~0.250%,0.100%~0.110%,20200130,2020-01-30 10:15,2020-01-30 10:16,1,做多,11582.0,11572.0,11582.0,11570.0,-10.0,-12.81,-2562.0,70,92,400.0,-2562.0
大台日盤 比例,0.5,勝率 > 50%,2862,G2862,A03,0.105%~0.150%,0.085%~0.095%,20200130,2020-01-30 10:27,2020-01-30 10:28,-1,做空,11534.0,11529.0,11534.0,11531.0,5.0,2.19,438.0,70,92,400.0,-2124.0
大台日盤 比例,0.5,勝率 > 50%,1605,G1605,A02,0.305%~0.350%,0.100%~0.110%,20200203,2020-02-03 09:08,2020-02-03 09:09,1,做多,11229.0,11242.0,11229.0,11240.0,13.0,10.2,2040.0,70,90,400.0,-84.0
大台日盤 比例,0.5,勝率 > 50%,3003,G3003,A03,0.305%~0.350%,0.160%~0.170%,20200203,2020-02-03 09:08,2020-02-03 09:09,1,做多,11222.0,11242.0,11222.0,11240.0,20.0,17.2,3440.0,70,90,400.0,3356.0
大台日盤 比例,0.5,勝率 > 50%,1537,G1537,A02,0.205%~0.250%,0.100%~0.110%,20200203,2020-02-03 09:28,2020-02-03 09:29,-1,做空,11190.0,11183.0,11190.0,11185.0,7.0,4.2,840.0,70,90,400.0,4196.0
大台日盤 比例,0.5,勝率 > 50%,1538,G1538,A02,0.205%~0.250%,0.115%~0.125%,20200210,2020-02-10 09:06,2020-02-10 09:07,-1,做空,11419.0,11418.0,11419.0,11420.0,1.0,-1.81,-362.0,70,92,400.0,3834.0
大台日盤 比例,0.5,勝率 > 50%,1537,G1537,A02,0.205%~0.250%,0.100%~0.110%,20200312,2020-03-12 09:08,2020-03-12 09:09,1,做多,10642.0,10666.0,10642.0,10664.0,24.0,21.22,4244.0,70,86,400.0,8078.0
大台日盤 比例,0.5,勝率 > 50%,1537,G1537,A02,0.205%~0.250%,0.100%~0.110%,20200312,2020-03-12 09:21,2020-03-12 09:22,-1,做空,10566.0,10573.0,10566.0,10575.0,-7.0,-9.77,-1954.0,70,84,400.0,6124.0
大台日盤 比例,0.5,勝率 > 50%,9967,G9967,A08,0.305%~0.350%,0.070%~0.080%,20200312,2020-03-12 09:27,2020-03-12 09:28,-1,做空,10543.0,10535.0,10543.0,10537.0,8.0,5.23,1046.0,70,84,400.0,7170.0
大台日盤 比例,0.5,勝率 > 50%,2862,G2862,A03,0.105%~0.150%,0.085%~0.095%,20200312,2020-03-12 09:30,2020-03-12 09:31,-1,做空,10508.0,10494.0,10508.0,10496.0,14.0,11.23,2246.0,70,84,400.0,9416.0
