Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
小台日盤 比例,0.5,勝率 > 50%,2020,84,58,166,101,0.608433734939759,304.12000000000006,15206.0,0.060824,613.4200000000001,0.122684,99.56,0.019912
小台日盤 比例,0.5,勝率 > 50%,2021,84,41,101,75,0.7425742574257426,935.44,46772.0,0.187088,562.72,0.112544,79.4,0.01588
小台日盤 比例,0.5,勝率 > 50%,2022,84,7,10,7,0.7,22.08,1104.0,0.004416,30.96,0.006192,15.44,0.003088
小台日盤 比例,0.5,勝率 > 50%,2023,84,1,1,1,1.0,2.6,130.0,0.00052,0.0,0.0,0.0,0.0
小台日盤 比例,0.5,勝率 > 50%,2024,84,21,47,33,0.7021276595744681,366.24,18312.0,0.073248,284.24,0.056848,48.56,0.009712
小台日盤 比例,0.5,勝率 > 50%,2025,84,26,41,29,0.7073170731707317,314.54,15727.0,0.062908,251.54,0.050308,92.04,0.018408
小台日盤 比例,0.5,勝率 > 50%,2026,84,24,58,40,0.6896551724137931,867.7199999999998,43385.99999999999,0.1735439999999999,556.12,0.111224,106.43999999999998,0.0212879999999999
小台日盤 比例,0.6,勝率 > 60%,2020,71,45,64,53,0.828125,488.36000000000007,24418.0,0.097672,103.0,0.0206,30.08,0.006016
小台日盤 比例,0.6,勝率 > 60%,2021,71,30,43,35,0.813953488372093,487.56,24378.0,0.097512,283.0,0.0566,79.4,0.01588
小台日盤 比例,0.6,勝率 > 60%,2022,71,3,3,3,1.0,23.16,1158.0,0.004632,0.0,0.0,0.0,0.0
小台日盤 比例,0.6,勝率 > 60%,2023,71,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台日盤 比例,0.6,勝率 > 60%,2024,71,11,15,14,0.9333333333333332,356.96000000000004,17848.0,0.071392,46.52,0.009304,46.52,0.009304
小台日盤 比例,0.6,勝率 > 60%,2025,71,16,19,18,0.9473684210526316,392.56000000000006,19628.0,0.078512,8.4,0.00168,8.4,0.00168
