Layer,Threshold,ThresholdLabel,Date,DailyNetTWD,DailyLongTWD,DailyShortTWD,CumNetTWD,CumLongTWD,CumShortTWD
小台日盤 比例,0.5,勝率 > 50%,20200227,292.0,0.0,292.0,292.0,0.0,292.0
小台日盤 比例,0.5,勝率 > 50%,20200312,-52.0,1122.0,-1174.0,240.0,1122.0,-882.0
小台日盤 比例,0.5,勝率 > 50%,20200313,4468.0,3716.0,752.0,4708.0,4838.0,-130.0
小台日盤 比例,0.5,勝率 > 50%,20200316,802.0,0.0,802.0,5510.0,4838.0,672.0
小台日盤 比例,0.5,勝率 > 50%,20200317,5078.0,3612.0,1466.0,10588.0,8450.0,2138.0
小台日盤 比例,0.5,勝率 > 50%,20200318,-1824.0,246.0,-2070.0,8764.0,8696.0,68.0
小台日盤 比例,0.5,勝率 > 50%,20200319,1606.0,4909.0,-3303.0,10370.0,13605.0,-3235.0
小台日盤 比例,0.5,勝率 > 50%,20200320,5466.0,4760.0,706.0,15836.0,18365.0,-2529.0
小台日盤 比例,0.5,勝率 > 50%,20200323,-2894.0,-3824.0,930.0,12942.0,14541.0,-1599.0
小台日盤 比例,0.5,勝率 > 50%,20200324,488.0,842.0,-354.0,13430.0,15383.0,-1953.0
小台日盤 比例,0.5,勝率 > 50%,20200326,480.0,340.0,140.0,13910.0,15723.0,-1813.0
小台日盤 比例,0.5,勝率 > 50%,20200327,38.0,-656.0,694.0,13948.0,15067.0,-1119.0
小台日盤 比例,0.5,勝率 > 50%,20200330,72.0,-8.0,80.0,14020.0,15059.0,-1039.0
小台日盤 比例,0.5,勝率 > 50%,20200331,394.0,0.0,394.0,14414.0,15059.0,-645.0
小台日盤 比例,0.5,勝率 > 50%,20200406,-256.0,0.0,-256.0,14158.0,15059.0,-901.0
小台日盤 比例,0.5,勝率 > 50%,20200407,-12.0,144.0,-156.0,14146.0,15203.0,-1057.0
小台日盤 比例,0.5,勝率 > 50%,20200409,-106.0,0.0,-106.0,14040.0,15203.0,-1163.0
小台日盤 比例,0.5,勝率 > 50%,20200423,-268.0,0.0,-268.0,13772.0,15203.0,-1431.0
小台日盤 比例,0.5,勝率 > 50%,20200427,144.0,144.0,0.0,13916.0,15347.0,-1431.0
小台日盤 比例,0.5,勝率 > 50%,20200504,42.0,42.0,0.0,13958.0,15389.0,-1431.0
小台日盤 比例,0.5,勝率 > 50%,20200623,92.0,92.0,0.0,14050.0,15481.0,-1431.0
小台日盤 比例,0.5,勝率 > 50%,20200728,452.0,0.0,452.0,14502.0,15481.0,-979.0
小台日盤 比例,0.5,勝率 > 50%,20200820,400.0,-130.0,530.0,14902.0,15351.0,-449.0
小台日盤 比例,0.5,勝率 > 50%,20200828,188.0,0.0,188.0,15090.0,15351.0,-261.0
小台日盤 比例,0.5,勝率 > 50%,20200909,-570.0,0.0,-570.0,14520.0,15351.0,-831.0
小台日盤 比例,0.5,勝率 > 50%,20201221,686.0,0.0,686.0,15206.0,15351.0,-145.0
小台日盤 比例,0.5,勝率 > 50%,20210106,-182.0,-116.0,-66.0,15024.0,15235.0,-211.0
小台日盤 比例,0.5,勝率 > 50%,20210118,584.0,584.0,0.0,15608.0,15819.0,-211.0
小台日盤 比例,0.5,勝率 > 50%,20210125,114.0,0.0,114.0,15722.0,15819.0,-97.0
小台日盤 比例,0.5,勝率 > 50%,20210217,164.0,164.0,0.0,15886.0,15983.0,-97.0
小台日盤 比例,0.5,勝率 > 50%,20210222,30.0,30.0,0.0,15916.0,16013.0,-97.0
小台日盤 比例,0.5,勝率 > 50%,20210426,80.0,80.0,0.0,15996.0,16093.0,-97.0
小台日盤 比例,0.5,勝率 > 50%,20210504,3270.0,-290.0,3560.0,19266.0,15803.0,3463.0
小台日盤 比例,0.5,勝率 > 50%,20210511,2082.0,2082.0,0.0,21348.0,17885.0,3463.0
小台日盤 比例,0.5,勝率 > 50%,20210512,33602.0,17560.0,16042.0,54950.0,35445.0,19505.0
小台日盤 比例,0.5,勝率 > 50%,20210513,4968.0,1658.0,3310.0,59918.0,37103.0,22815.0
