Layer,Threshold,ThresholdLabel,ParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax,PFNet
小台日盤 比例,0.5,勝率 > 50%,84,424,286,0.6745283018867925,2812.74,140637.0,0.562548,1697.84,0.339568,192.72,0.038544,2.0991043796304982
小台日盤 比例,0.6,勝率 > 60%,71,159,134,0.8427672955974843,2107.4400000000005,105372.0,0.421488,529.0,0.1058,79.4,0.01588,4.886831427517521
小台日盤 比例,0.7,勝率 > 70%,62,132,116,0.8787878787878788,1925.48,96274.0,0.385096,333.64,0.066728,79.4,0.01588,6.551493484027217
小台日盤 比例,0.8,勝率 > 80%,52,81,78,0.9629629629629628,1519.12,75956.0,0.303824,71.12,0.014224,31.36,0.006272,22.359955005624297
小台日盤 比例,0.9,勝率 > 90%,49,61,61,1.0,1297.64,64882.0,0.259528,0.0,0.0,0.0,0.0,inf
小台日盤 比例,1.0,勝率 = 100%,49,61,61,1.0,1297.64,64882.0,0.259528,0.0,0.0,0.0,0.0,inf
小台全日 比例,0.5,勝率 > 50%,141,643,420,0.6531881804043546,10622.64,531132.0,2.124528,3341.7,0.66834,743.12,0.148624,3.0163163349366213
小台全日 比例,0.6,勝率 > 60%,115,219,186,0.8493150684931506,9680.24,484012.0,1.936048,637.8399999999999,0.127568,94.08,0.018816,13.933197947840956
小台全日 比例,0.7,勝率 > 70%,102,142,136,0.9577464788732394,9328.020000000002,466401.0,1.865604,106.1,0.02122,30.08,0.006016,88.91724787935911
小台全日 比例,0.8,勝率 > 80%,98,125,123,0.984,9011.72,450586.0,1.802344,51.56,0.010312,30.08,0.006016,175.78122575640032
小台全日 比例,0.9,勝率 > 90%,96,110,110,1.0,8767.46,438373.0,1.753492,0.0,0.0,0.0,0.0,inf
小台全日 比例,1.0,勝率 = 100%,96,110,110,1.0,8767.46,438373.0,1.753492,0.0,0.0,0.0,0.0,inf
大台日盤 比例,0.5,勝率 > 50%,130,877,547,0.6237172177879133,4317.665000000001,863533.0,0.863533,3331.82,0.666364,271.18,0.054236,1.7666329011884794
大台日盤 比例,0.6,勝率 > 60%,98,247,204,0.8259109311740891,3174.7750000000005,634955.0,0.634955,797.6350000000001,0.159527,140.57500000000002,0.028115,4.540292499066077
大台日盤 比例,0.7,勝率 > 70%,83,168,152,0.9047619047619048,2919.0400000000004,583808.0,0.583808,176.72,0.035344,43.74,0.008748,15.77845281490482
大台日盤 比例,0.8,勝率 > 80%,75,116,113,0.9741379310344828,2454.17,490834.0,0.490834,27.37,0.005474,11.69,0.002338,90.66642309097551
大台日盤 比例,0.9,勝率 > 90%,72,95,95,1.0,2187.38,437476.0,0.437476,0.0,0.0,0.0,0.0,inf
大台日盤 比例,1.0,勝率 = 100%,72,95,95,1.0,2187.38,437476.0,0.437476,0.0,0.0,0.0,0.0,inf
大台全日 比例,0.5,勝率 > 50%,187,778,534,0.6863753213367609,10575.72,2115144.0,2.115144,3330.63,0.666126,210.93,0.042186,3.040327240421002
大台全日 比例,0.6,勝率 > 60%,166,415,337,0.8120481927710843,9809.36,1961872.0,1.961872,1687.7549999999997,0.3375509999999999,208.075,0.041615,5.805800651593464
大台全日 比例,0.7,勝率 > 70%,146,276,248,0.8985507246376812,9573.625,1914725.0,1.914725,396.855,0.079371,100.36,0.020072,22.101223275292043
大台全日 比例,0.8,勝率 > 80%,130,167,166,0.994011976047904,7848.900000000001,1569780.0,1.56978,3.73,0.000746,3.73,0.000746,2105.2627345844503
大台全日 比例,0.9,勝率 > 90%,129,160,160,1.0,7664.645,1532929.0,1.532929,0.0,0.0,0.0,0.0,inf
大台全日 比例,1.0,勝率 = 100%,129,160,160,1.0,7664.645,1532929.0,1.532929,0.0,0.0,0.0,0.0,inf
