Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
小台全日,0.5,勝率 > 50%,2019,271,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.5,勝率 > 50%,2020,271,9,10,6,0.6,73.00000000000001,3650.0,0.0146,41.48,0.008296,23.2,0.00464
小台全日,0.5,勝率 > 50%,2021,271,15,17,10,0.5882352941176471,101.84,5092.0,0.020368,101.52,0.020304,51.36,0.010272
小台全日,0.5,勝率 > 50%,2022,271,6,6,4,0.6666666666666666,24.319999999999997,1216.0,0.004864,26.560000000000002,0.005312,18.28,0.003656
小台全日,0.5,勝率 > 50%,2023,271,3,3,2,0.6666666666666666,-26.0,-1300.0,-0.0052,30.32,0.006064,30.32,0.006064
小台全日,0.5,勝率 > 50%,2024,271,33,65,41,0.6307692307692307,401.12,20056.0,0.080224,505.92,0.101184,134.52,0.026904000000000004
小台全日,0.5,勝率 > 50%,2025,271,74,132,101,0.7651515151515151,4242.6,212130.0,0.84852,817.56,0.163512,115.8,0.02316
小台全日,0.5,勝率 > 50%,2026,271,254,1391,890,0.6398274622573688,21197.32,1059866.0,4.239464,8721.220000000001,1.7442440000000001,567.56,0.11351199999999999
小台全日,0.6,勝率 > 60%,2019,228,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.6,勝率 > 60%,2020,228,2,2,1,0.5,23.840000000000003,1192.0,0.004768,8.08,0.001616,8.08,0.001616
小台全日,0.6,勝率 > 60%,2021,228,7,7,2,0.2857142857142857,60.56,3028.0,0.012112,17.799999999999997,0.0035599999999999994,8.36,0.001672
小台全日,0.6,勝率 > 60%,2022,228,2,2,1,0.5,7.48,374.0,0.001496,18.28,0.003656,18.28,0.003656
小台全日,0.6,勝率 > 60%,2023,228,2,2,1,0.5,-28.64,-1432.0,-0.005728,30.32,0.006064,30.32,0.006064
小台全日,0.6,勝率 > 60%,2024,228,16,24,17,0.7083333333333334,250.2,12510.0,0.05004,260.12,0.052024,134.52,0.026904000000000004
小台全日,0.6,勝率 > 60%,2025,228,49,59,53,0.8983050847457628,2749.06,137453.0,0.549812,215.83999999999997,0.04316799999999999,74.44,0.014888
小台全日,0.6,勝率 > 60%,2026,228,211,520,418,0.8038461538461539,18256.179999999997,912809.0,3.651236,2323.6,0.46472,245.36,0.049072
小台全日,0.7,勝率 > 70%,2019,195,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.7,勝率 > 70%,2020,195,1,1,0,0.0,-8.08,-404.0,-0.001616,8.08,0.001616,8.08,0.001616
小台全日,0.7,勝率 > 70%,2021,195,1,1,1,1.0,17.68,884.0,0.003536,0.0,0.0,0.0,0.0
小台全日,0.7,勝率 > 70%,2022,195,1,1,1,1.0,25.76,1288.0,0.005152,0.0,0.0,0.0,0.0
小台全日,0.7,勝率 > 70%,2023,195,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.7,勝率 > 70%,2024,195,10,12,10,0.8333333333333334,306.76,15338.0,0.061352,36.08,0.007216,24.6,0.00492
小台全日,0.7,勝率 > 70%,2025,195,36,37,35,0.9459459459459459,2377.2200000000003,118861.0,0.475444,111.91999999999999,0.022383999999999998,74.44,0.014888
小台全日,0.7,勝率 > 70%,2026,195,178,308,280,0.9090909090909091,16049.58,802479.0,3.209916,838.44,0.167688,131.44,0.026288
小台全日,0.8,勝率 > 80%,2019,178,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2020,178,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2021,178,1,1,1,1.0,17.68,884.0,0.003536,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2022,178,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2023,178,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2024,178,7,7,7,1.0,308.4,15420.0,0.06168,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2025,178,29,30,30,1.0,2379.34,118967.0,0.475868,0.0,0.0,0.0,0.0
小台全日,0.8,勝率 > 80%,2026,178,161,213,208,0.9765258215962441,14376.56,718828.0,2.875312,88.36,0.017672,35.48,0.007095999999999999
