Layer,Threshold,ThresholdLabel,Date,DailyNetTWD,DailyLongTWD,DailyShortTWD,CumNetTWD,CumLongTWD,CumShortTWD
小台全日,0.5,勝率 > 50%,20200312,244.0,244.0,0.0,244.0,244.0,0.0
小台全日,0.5,勝率 > 50%,20200313,-256.0,0.0,-256.0,-12.0,244.0,-256.0
小台全日,0.5,勝率 > 50%,20200316,2584.0,-258.0,2842.0,2572.0,-14.0,2586.0
小台全日,0.5,勝率 > 50%,20200317,-254.0,-254.0,0.0,2318.0,-268.0,2586.0
小台全日,0.5,勝率 > 50%,20200323,2492.0,2492.0,0.0,4810.0,2224.0,2586.0
小台全日,0.5,勝率 > 50%,20200820,-1160.0,0.0,-1160.0,3650.0,2224.0,1426.0
小台全日,0.5,勝率 > 50%,20210512,6538.0,3144.0,3394.0,10188.0,5368.0,4820.0
小台全日,0.5,勝率 > 50%,20210517,-368.0,0.0,-368.0,9820.0,5368.0,4452.0
小台全日,0.5,勝率 > 50%,20210518,-1618.0,-1618.0,0.0,8202.0,3750.0,4452.0
小台全日,0.5,勝率 > 50%,20210728,540.0,380.0,160.0,8742.0,4130.0,4612.0
小台全日,0.5,勝率 > 50%,20220704,236.0,236.0,0.0,8978.0,4366.0,4612.0
小台全日,0.5,勝率 > 50%,20220705,286.0,0.0,286.0,9264.0,4366.0,4898.0
小台全日,0.5,勝率 > 50%,20220707,-414.0,0.0,-414.0,8850.0,4366.0,4484.0
小台全日,0.5,勝率 > 50%,20221013,1288.0,0.0,1288.0,10138.0,4366.0,5772.0
小台全日,0.5,勝率 > 50%,20221202,734.0,0.0,734.0,10872.0,4366.0,6506.0
小台全日,0.5,勝率 > 50%,20221223,-914.0,-914.0,0.0,9958.0,3452.0,6506.0
小台全日,0.5,勝率 > 50%,20230112,-1432.0,0.0,-1432.0,8526.0,3452.0,5074.0
小台全日,0.5,勝率 > 50%,20230214,132.0,132.0,0.0,8658.0,3584.0,5074.0
小台全日,0.5,勝率 > 50%,20240419,-676.0,0.0,-676.0,7982.0,3584.0,4398.0
小台全日,0.5,勝率 > 50%,20240503,224.0,224.0,0.0,8206.0,3808.0,4398.0
小台全日,0.5,勝率 > 50%,20240520,822.0,0.0,822.0,9028.0,3808.0,5220.0
小台全日,0.5,勝率 > 50%,20240621,-4364.0,0.0,-4364.0,4664.0,3808.0,856.0
小台全日,0.5,勝率 > 50%,20240718,-632.0,-632.0,0.0,4032.0,3176.0,856.0
小台全日,0.5,勝率 > 50%,20240722,890.0,890.0,0.0,4922.0,4066.0,856.0
