RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
1,G0001,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,1,2~4,2,4.0,1,90923,40663,0.4472245746400801,40663,20676,19987,7347,33291,25,0.18068022526621252,-52312.0,-200842.23999998588,-10042111.999999294,-40.16844799999718,49996.300000000934,-250838.539999997,0.19931666003159454,-4.939188943265029,200916.79999998602,40.18335999999721,1463868.0,1896344.0,4066300.0
2,G0002,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,2,5~7,5,7.0,1,4869,2101,0.4315054425960156,2101,1036,1065,559,1540,2,0.2660637791527844,-6771.0,-15403.039999999957,-770151.9999999979,-3.080607999999992,6124.659999999983,-21527.700000000175,0.2845013633597613,-7.33128986197047,15457.559999999958,3.091511999999992,75636.0,145866.0,210100.0
3,G0003,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,3,8~10,8,10.0,1,911,344,0.37760702524698136,344,174,170,102,242,0,0.29651162790697677,-306.0,-1775.7399999999998,-88786.99999999999,-0.35514799999999996,1970.6799999999998,-3746.419999999995,0.5260168374074456,-5.16203488372093,1786.9799999999998,0.35739599999999994,12384.0,26703.0,34400.0
4,G0004,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,4,11~13,11,13.0,1,230,89,0.3869565217391304,89,44,45,32,57,0,0.3595505617977528,-175.0,-557.7199999999996,-27885.999999999978,-0.11154399999999991,522.6800000000001,-1080.4,0.4837837837837838,-6.266516853932579,676.9599999999997,0.13539199999999993,3204.0,7032.0,8900.0
5,G0005,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,5,14~16,14,16.0,1,72,16,0.2222222222222222,16,9,7,5,11,0,0.3125,87.0,18.95999999999999,947.9999999999995,0.003791999999999998,173.95999999999998,-155.0,1.122322580645161,1.1849999999999994,96.20000000000002,0.019240000000000004,576.0,1226.0,1600.0
6,G0006,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,6,17~19,17,19.0,1,30,11,0.36666666666666664,11,6,5,5,6,0,0.45454545454545453,-200.0,-248.16000000000003,-12408.000000000002,-0.04963200000000001,155.92,-404.08000000000004,0.38586418530983957,-22.560000000000002,251.60000000000002,0.05032000000000001,396.0,912.0,1100.0
7,G0007,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,7,20~22,20,22.0,1,11,3,0.2727272727272727,3,2,1,1,2,0,0.3333333333333333,2.0,-11.32,-566.0,-0.002264,19.48,-30.8,0.6324675324675325,-3.7733333333333334,30.8,0.00616,108.0,258.0,300.0
8,G0008,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,8,23~25,23,25.0,1,2,2,1.0,2,0,2,2,0,0,1.0,48.0,38.92,1946.0,0.007784,38.92,-0.0,inf,19.46,0.0,0.0,72.0,182.0,200.0
9,G0009,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,9,26~28,26,28.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
10,G0010,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,10,29~31,29,31.0,1,2,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
11,G0011,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,11,32~34,32,34.0,1,1,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
12,G0012,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,12,35~37,35,37.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
13,G0013,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,13,38~40,38,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
14,G0014,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,14,41~43,41,43.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
15,G0015,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,15,44~46,44,46.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
16,G0016,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,16,47~49,47,49.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
17,G0017,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,17,50~52,50,52.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
18,G0018,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,18,53~55,53,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
19,G0019,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,19,56~58,56,58.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
20,G0020,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,20,59~61,59,61.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
21,G0021,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,21,62~64,62,64.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
22,G0022,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,22,65~67,65,67.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
23,G0023,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,23,68~70,68,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
24,G0024,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,24,71~73,71,73.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
25,G0025,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,25,74~76,74,76.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
26,G0026,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,26,77~79,77,79.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
27,G0027,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,27,80~82,80,82.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
28,G0028,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,28,83~85,83,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
29,G0029,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,29,86~88,86,88.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
30,G0030,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,30,89~91,89,91.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
31,G0031,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,31,92~94,92,94.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
32,G0032,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,32,95~97,95,97.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
33,G0033,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,33,98~100,98,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
34,G0034,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,34,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
35,G0035,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,1,2~4,2,4.0,1,10461,7689,0.7350157728706624,7689,3785,3904,2288,5390,11,0.29756795422031473,-11859.0,-41347.320000000465,-2067366.0000000233,-8.269464000000093,24091.33999999966,-65438.65999999994,0.36815148720954377,-5.377463909481137,41391.52000000049,8.278304000000098,276804.0,428712.0,768900.0
36,G0036,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,2,5~7,5,7.0,1,1377,880,0.6390704429920117,880,454,426,268,612,0,0.30454545454545456,-2582.0,-6279.640000000053,-313982.0000000027,-1.2559280000000108,4083.5199999999977,-10363.15999999994,0.39404197175379146,-7.135954545454606,6323.600000000052,1.2647200000000105,31680.0,65202.0,88000.0
