Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
大台全日,0.5,勝率 > 50%,2019,285,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日,0.5,勝率 > 50%,2020,285,7,11,6,0.5454545454545454,24.88000000000001,4976.0,0.019904,61.23,0.048984,21.24,0.016992
大台全日,0.5,勝率 > 50%,2021,285,12,18,14,0.7777777777777778,116.305,23261.0,0.093044,157.965,0.126372,60.97,0.048776
大台全日,0.5,勝率 > 50%,2022,285,5,5,3,0.6,-79.64,-15928.0,-0.063712,113.84,0.091072,56.92,0.045536
大台全日,0.5,勝率 > 50%,2023,285,3,3,3,1.0,152.18,30436.0,0.121744,0.0,0.0,0.0,0.0
大台全日,0.5,勝率 > 50%,2024,285,35,72,38,0.5277777777777778,71.40500000000003,14281.0,0.057124,559.21,0.447368,88.46000000000001,0.070768
大台全日,0.5,勝率 > 50%,2025,285,72,126,80,0.6349206349206349,2694.625,538925.0,2.1557,1576.0500000000002,1.2608400000000002,144.535,0.115628
大台全日,0.5,勝率 > 50%,2026,285,260,1481,961,0.6488858879135719,18630.945,3726189.0,14.904756,10108.390000000001,8.086712,561.0,0.4488
大台全日,0.6,勝率 > 60%,2019,239,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台全日,0.6,勝率 > 60%,2020,239,3,3,2,0.6666666666666666,20.770000000000003,4154.0,0.016616,18.75,0.015,18.75,0.015
大台全日,0.6,勝率 > 60%,2021,239,6,7,7,1.0,152.22,30444.0,0.121776,0.0,0.0,0.0,0.0
大台全日,0.6,勝率 > 60%,2022,239,2,2,2,1.0,33.12,6624.0,0.026496,0.0,0.0,0.0,0.0
大台全日,0.6,勝率 > 60%,2023,239,3,3,3,1.0,152.18,30436.0,0.121744,0.0,0.0,0.0,0.0
大台全日,0.6,勝率 > 60%,2024,239,15,18,10,0.5555555555555556,-25.824999999999992,-5165.0,-0.02066,181.205,0.144964,47.405,0.037924
