RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
1,G0001,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,1,2~4,2,4.0,1,17556,11906,0.678172704488494,11906,5952,5954,2997,8898,11,0.25172182093062323,-10194.0,-48889.584999999446,-9777916.99999989,-39.11166799999956,23164.629999999994,-72054.21499999893,0.32148889554900206,-4.106298084999113,49126.38999999943,39.30111199999955,833420.0,2143297.0,4762400.0
2,G0002,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,2,5~7,5,7.0,1,578,394,0.6816608996539792,394,178,216,154,240,0,0.39086294416243655,-612.0,-2128.6550000000025,-425731.00000000047,-1.7029240000000019,2226.0400000000004,-4354.6950000000015,0.5111816097338618,-5.402677664974625,2152.5100000000025,1.7220080000000022,27580.0,118151.0,157600.0
3,G0003,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,3,8~10,8,10.0,1,86,54,0.627906976744186,54,29,25,21,33,0,0.3888888888888889,-207.0,-421.35499999999996,-84270.99999999999,-0.33708399999999994,424.94000000000005,-846.2950000000002,0.502118055760698,-7.8028703703703695,421.35499999999996,0.33708399999999994,3780.0,17491.0,21600.0
4,G0004,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,4,11~13,11,13.0,1,20,13,0.65,13,7,6,4,9,0,0.3076923076923077,-1.0,-53.36500000000001,-10673.000000000002,-0.04269200000000001,169.97999999999996,-223.34500000000003,0.7610647204996751,-4.105,158.78500000000003,0.127028,910.0,4363.0,5200.0
5,G0005,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,5,14~16,14,16.0,1,5,2,0.4,2,2,0,0,2,0,0.0,-9.0,-16.62,-3324.0,-0.013296,0.0,-16.62,0.0,-8.31,16.62,0.013296,140.0,584.0,800.0
6,G0006,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,6,17~19,17,19.0,1,1,1,1.0,1,0,1,1,0,0,1.0,62.0,57.845,11569.0,0.046276,57.845,-0.0,inf,57.845,0.0,0.0,70.0,361.0,400.0
7,G0007,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,7,20~22,20,22.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
8,G0008,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,8,23~25,23,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
9,G0009,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,9,26~28,26,28.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
10,G0010,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,10,29~31,29,31.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
11,G0011,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,11,32~34,32,34.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
12,G0012,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,12,35~37,35,37.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
13,G0013,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,13,38~40,38,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
14,G0014,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,14,41~43,41,43.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
15,G0015,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,15,44~46,44,46.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
16,G0016,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,1,0~10,0,10.0,16,47~49,47,49.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
