Layer,Threshold,ThresholdLabel,Year,ParamCount,ActiveParamCount,TotalTrades,WinTrades,WinRate,NetPoints,NetProfitTWD,TotalReturnRate,MDDNetPointsSum,MDDRateSum,MDDNetPointsMax,MDDRateMax
大台日盤,0.5,勝率 > 50%,2020,223,6,6,4,0.6666666666666666,-9.72,-486.0,-0.001944,36.24,0.007248,18.12,0.003624
大台日盤,0.5,勝率 > 50%,2021,223,16,23,19,0.8260869565217391,325.8,16290.0,0.06516,42.04,0.008408,17.36,0.003472
大台日盤,0.5,勝率 > 50%,2022,223,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.5,勝率 > 50%,2023,223,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.5,勝率 > 50%,2024,223,38,71,48,0.676056338028169,390.4599999999999,19523.0,0.078092,566.84,0.113368,73.56,0.014712
大台日盤,0.5,勝率 > 50%,2025,223,33,58,31,0.5344827586206896,215.55999999999995,10778.0,0.043112,421.88,0.084376,95.86,0.019172
大台日盤,0.5,勝率 > 50%,2026,223,215,1223,778,0.6361406377759607,11983.900000000001,599195.0,2.39678,6905.76,1.381152,330.90000000000003,0.06618
大台日盤,0.6,勝率 > 60%,2020,180,2,2,2,1.0,9.76,488.0,0.001952,0.0,0.0,0.0,0.0
大台日盤,0.6,勝率 > 60%,2021,180,6,6,5,0.8333333333333334,129.92000000000002,6496.0,0.025984,11.36,0.002272,11.36,0.002272
大台日盤,0.6,勝率 > 60%,2022,180,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.6,勝率 > 60%,2023,180,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.6,勝率 > 60%,2024,180,17,25,18,0.72,10.319999999999993,516.0,0.002064,263.96000000000004,0.052792000000000006,61.56,0.012312
大台日盤,0.6,勝率 > 60%,2025,180,15,16,13,0.8125,199.2,9960.0,0.03984,15.280000000000001,0.003056,9.4,0.00188
大台日盤,0.6,勝率 > 60%,2026,180,172,468,369,0.7884615384615384,9910.36,495518.0,1.982072,2154.08,0.430816,171.07999999999998,0.034216
大台日盤,0.7,勝率 > 70%,2020,149,1,1,1,1.0,2.88,144.0,0.000576,0.0,0.0,0.0,0.0
大台日盤,0.7,勝率 > 70%,2021,149,3,3,3,1.0,116.0,5800.0,0.0232,0.0,0.0,0.0,0.0
大台日盤,0.7,勝率 > 70%,2022,149,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.7,勝率 > 70%,2023,149,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.7,勝率 > 70%,2024,149,11,15,12,0.8,71.88,3594.0,0.014376,110.68,0.022136,52.52,0.010504
大台日盤,0.7,勝率 > 70%,2025,149,4,4,4,1.0,48.0,2400.0,0.0096,0.0,0.0,0.0,0.0
大台日盤,0.7,勝率 > 70%,2026,149,141,274,243,0.8868613138686131,7442.24,372112.0,1.488448,950.6800000000001,0.190136,166.24,0.033248
大台日盤,0.8,勝率 > 80%,2020,130,1,1,1,1.0,2.88,144.0,0.000576,0.0,0.0,0.0,0.0
大台日盤,0.8,勝率 > 80%,2021,130,3,3,3,1.0,116.0,5800.0,0.0232,0.0,0.0,0.0,0.0
大台日盤,0.8,勝率 > 80%,2022,130,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大台日盤,0.8,勝率 > 80%,2023,130,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
