Layer,Threshold,ThresholdLabel,Date,DailyNetTWD,DailyLongTWD,DailyShortTWD,CumNetTWD,CumLongTWD,CumShortTWD
大台日盤,0.5,勝率 > 50%,20200312,2096.0,2096.0,0.0,2096.0,2096.0,0.0
大台日盤,0.5,勝率 > 50%,20200313,-3600.0,-3600.0,0.0,-1504.0,-1504.0,0.0
大台日盤,0.5,勝率 > 50%,20200317,1054.0,0.0,1054.0,-450.0,-1504.0,1054.0
大台日盤,0.5,勝率 > 50%,20210205,-2196.0,0.0,-2196.0,-2646.0,-1504.0,-1142.0
大台日盤,0.5,勝率 > 50%,20210319,-2798.0,-2798.0,0.0,-5444.0,-4302.0,-1142.0
大台日盤,0.5,勝率 > 50%,20210511,2996.0,0.0,2996.0,-2448.0,-4302.0,1854.0
大台日盤,0.5,勝率 > 50%,20210512,45870.0,19232.0,26638.0,43422.0,14930.0,28492.0
大台日盤,0.5,勝率 > 50%,20210513,17021.0,0.0,17021.0,60443.0,14930.0,45513.0
大台日盤,0.5,勝率 > 50%,20210517,16226.0,18820.0,-2594.0,76669.0,33750.0,42919.0
大台日盤,0.5,勝率 > 50%,20210518,-5998.0,-5998.0,0.0,70671.0,27752.0,42919.0
大台日盤,0.5,勝率 > 50%,20210728,4588.0,1796.0,2792.0,75259.0,29548.0,45711.0
大台日盤,0.5,勝率 > 50%,20240422,-4852.0,0.0,-4852.0,70407.0,29548.0,40859.0
大台日盤,0.5,勝率 > 50%,20240709,3338.0,0.0,3338.0,73745.0,29548.0,44197.0
大台日盤,0.5,勝率 > 50%,20240718,-4512.0,-4512.0,0.0,69233.0,25036.0,44197.0
大台日盤,0.5,勝率 > 50%,20240719,3346.0,3346.0,0.0,72579.0,28382.0,44197.0
大台日盤,0.5,勝率 > 50%,20240722,6456.0,0.0,6456.0,79035.0,28382.0,50653.0
大台日盤,0.5,勝率 > 50%,20240805,47253.0,23724.0,23529.0,126288.0,52106.0,74182.0
大台日盤,0.5,勝率 > 50%,20240806,12736.0,7598.0,5138.0,139024.0,59704.0,79320.0
大台日盤,0.5,勝率 > 50%,20240807,-3820.0,-15548.0,11728.0,135204.0,44156.0,91048.0
大台日盤,0.5,勝率 > 50%,20240808,5016.0,8288.0,-3272.0,140220.0,52444.0,87776.0
大台日盤,0.5,勝率 > 50%,20240814,954.0,0.0,954.0,141174.0,52444.0,88730.0
大台日盤,0.5,勝率 > 50%,20240904,160.0,0.0,160.0,141334.0,52444.0,88890.0
大台日盤,0.5,勝率 > 50%,20240909,2364.0,0.0,2364.0,143698.0,52444.0,91254.0
大台日盤,0.5,勝率 > 50%,20241028,1542.0,1542.0,0.0,145240.0,53986.0,91254.0
大台日盤,0.5,勝率 > 50%,20241105,-454.0,-454.0,0.0,144786.0,53532.0,91254.0
大台日盤,0.5,勝率 > 50%,20250113,-2051.0,0.0,-2051.0,142735.0,53532.0,89203.0
大台日盤,0.5,勝率 > 50%,20250117,-2108.0,0.0,-2108.0,140627.0,53532.0,87095.0
